name,shock_multiplier,solver_status,termination_condition,diagnostics_basis,objective_value,lp_relaxation_objective,total_capex,total_opex,total_cost,total_demand,coverage_pct,sla_achievement_rate,binding_constraints,solve_time_seconds,solver_rows,deployment_batches_total,deployment_units_total,budget_utilization_peak,supply_utilization_peak,relaxed_solver_status,average_monthly_unmet_demand,regions_below_sla,plan_delta_vs_base_units,cost_delta_vs_base
base,1.0,ok,optimal,shadow prices from LP relaxation; deployment plan from integer batch solution,8259667.9798,8070769.3293,1184636.8,572340.0,1756976.8,182249.7,0.9164,0.85,109,0.106468,204,36.0,144.0,0.943,0.6857,ok,1269.34,9,0.0,0.0
shock_up_20,1.2,ok,optimal,shadow prices from LP relaxation; deployment plan from integer batch solution,13511069.4797,12925732.2927,1480662.76,644140.0,2124802.76,218699.64,0.8825,0.75,117,0.057649,204,45.0,180.0,0.9448,0.6857,ok,2141.2,15,36.0,367825.95999999973
shock_down_20,0.8,ok,optimal,shadow prices from LP relaxation; deployment plan from integer batch solution,4457069.4524,4224136.7082,822288.8,470960.0,1293248.8,145799.75,0.9383,0.85,109,0.054111,204,25.0,100.0,0.9407,0.6857,ok,749.14,9,-44.0,-463728.0
