budget_multiplier,budget_cap,coverage_pct,sla_achievement_rate,total_cost,total_capex,total_opex,objective_value,solve_time_seconds
0.7,294000.0,0.8967,0.75,1733716.8,1184636.8,549080.0,10309895.215,0.055697
0.85,357000.0,0.9043,0.7667,1738676.8,1184636.8,554040.0,9307048.0463,0.053296
1.0,420000.0,0.9164,0.85,1756976.8,1184636.8,572340.0,8259667.9798,0.050614
1.15,482999.99999999994,0.9225,0.85,1761196.8,1184636.8,576560.0,7769144.9885,0.07131
1.3,546000.0,0.9264,0.85,1763336.8,1184636.8,578700.0,7297779.0065,0.072102
